strategy,trades,win_rate%,avg_return%,avg_win%,avg_loss%,profit_factor,total_return%,expectancy%,avg_bars_held
A - Hold till Long-exit cross,48,37.5,1.45,11.16,-4.37,1.53,69.7,1.45,5.8
B - Fixed TP 2%,48,95.8,0.64,2.0,-30.54,1.51,30.9,0.64,4.1
B - Fixed TP 3%,48,87.5,-0.08,3.0,-21.68,0.97,-4.1,-0.08,8.3
B - Fixed TP 4%,48,83.3,0.01,4.0,-19.95,1.0,0.4,0.01,11.7
B - Fixed TP 5%,48,81.2,0.53,4.8,-17.96,1.16,25.4,0.53,14.4
B - Fixed TP 7%,48,75.0,0.86,6.08,-14.8,1.23,41.4,0.86,18.8
B - Fixed TP 10%,48,70.8,1.75,8.26,-14.08,1.43,83.8,1.75,20.9
C - TP 3% + LE-SL,48,64.6,0.09,2.63,-4.54,1.06,4.3,0.09,2.3
C - TP 4% + LE-SL,48,54.2,-0.54,3.25,-5.03,0.76,-26.1,-0.54,2.7
C - TP 5% + LE-SL,48,47.9,-0.55,3.89,-4.63,0.77,-26.2,-0.55,2.9
C - TP 7% + LE-SL,48,43.8,-0.61,4.66,-4.71,0.77,-29.3,-0.61,3.7
C - TP 10% + LE-SL,48,39.6,-0.3,6.15,-4.52,0.89,-14.2,-0.3,4.0
E - Time 3 bars,48,47.9,-0.85,3.75,-5.08,0.68,-40.8,-0.85,3.0
E - Time 5 bars,48,52.1,-0.22,5.5,-6.45,0.93,-10.7,-0.22,5.0
E - Time 7 bars,48,52.1,0.22,6.85,-7.0,1.06,10.4,0.22,7.0
E - Time 10 bars,48,43.8,1.64,11.71,-6.2,1.47,78.5,1.64,10.0
"F - ATR TP=3,SL=2",48,43.8,1.84,14.55,-8.05,1.41,88.3,1.84,16.8
"F - ATR TP=2,SL=1",48,33.3,0.23,11.28,-5.3,1.06,10.9,0.23,7.2
"F - ATR TP=4,SL=2",48,43.8,2.72,16.58,-8.05,1.6,130.8,2.72,18.0
G - LE OR drop 2% from peak,48,43.8,-0.99,1.72,-3.09,0.43,-47.4,-0.99,1.8
G - LE OR drop 3% from peak,48,35.4,-0.76,3.5,-3.1,0.62,-36.5,-0.76,2.6
G - LE OR drop 4% from peak,48,31.2,-0.71,4.34,-3.01,0.66,-34.1,-0.71,3.2
G - LE OR drop 5% from peak,48,31.2,-0.03,7.78,-3.57,0.99,-1.2,-0.03,3.8
H - TP 5% + LE + drop 3%,48,35.4,-0.95,2.98,-3.1,0.53,-45.4,-0.95,1.9
H - TP 7% + LE + drop 3%,48,35.4,-1.02,2.77,-3.1,0.49,-48.9,-1.02,2.1
H - TP 10% + LE + drop 3%,48,35.4,-1.06,2.65,-3.1,0.47,-51.1,-1.06,2.2
H - TP 7% + LE + drop 2%,48,43.8,-0.82,2.1,-3.09,0.53,-39.4,-0.82,1.8
H - TP 5% + LE + drop 2%,48,43.8,-0.63,2.54,-3.09,0.64,-30.3,-0.63,1.7
