indicator,direction,threshold,trigger_value,samples,hit_rate_pct,avg_5d_return_pct
RSI,BUY (oversold),<= 10,10,872,33.5,0.32
RSI,BUY (oversold),<= 11,11,948,33.5,0.44
RSI,BUY (oversold),<= 12,12,1032,34.1,0.48
RSI,BUY (oversold),<= 13,13,1122,34.8,0.45
RSI,BUY (oversold),<= 14,14,1195,34.7,0.42
RSI,BUY (oversold),<= 15,15,1254,35.0,0.44
RSI,BUY (oversold),<= 16,16,1338,35.4,0.48
RSI,BUY (oversold),<= 17,17,1390,35.7,0.55
RSI,BUY (oversold),<= 18,18,1467,36.0,0.52
RSI,BUY (oversold),<= 19,19,1525,36.3,0.52
RSI,BUY (oversold),<= 20,20,1589,36.2,0.52
RSI,BUY (oversold),<= 21,21,1639,36.4,0.52
RSI,BUY (oversold),<= 22,22,1699,36.7,0.52
RSI,BUY (oversold),<= 23,23,1751,36.4,0.51
RSI,BUY (oversold),<= 24,24,1820,36.1,0.47
RSI,BUY (oversold),<= 25,25,1893,36.2,0.47
RSI,BUY (oversold),<= 26,26,1958,36.3,0.53
RSI,BUY (oversold),<= 27,27,2008,36.6,0.52
RSI,BUY (oversold),<= 28,28,2072,36.5,0.51
RSI,BUY (oversold),<= 29,29,2125,36.6,0.51
RSI,BUY (oversold),<= 30,30,2183,36.6,0.62
RSI,BUY (oversold),<= 31,31,2251,36.8,0.66
RSI,BUY (oversold),<= 32,32,2315,36.8,0.65
RSI,BUY (oversold),<= 33,33,2373,36.7,0.65
RSI,BUY (oversold),<= 34,34,2429,36.7,0.65
RSI,BUY (oversold),<= 35,35,2482,36.8,0.67
RSI,BUY (oversold),<= 36,36,2554,36.6,0.62
RSI,BUY (oversold),<= 37,37,2612,36.7,0.63
RSI,BUY (oversold),<= 38,38,2674,36.6,0.64
RSI,BUY (oversold),<= 39,39,2735,36.3,0.59
RSI,BUY (oversold),<= 40,40,2788,36.3,0.59
RSI,BUY (oversold),<= 41,41,2833,36.4,0.6
RSI,BUY (oversold),<= 42,42,2888,36.2,0.59
RSI,BUY (oversold),<= 43,43,2954,36.3,0.62
RSI,BUY (oversold),<= 44,44,3001,36.2,0.61
RSI,BUY (oversold),<= 45,45,3054,36.1,0.59
RSI,BUY (oversold),<= 46,46,3110,36.0,0.61
RSI,BUY (oversold),<= 47,47,3174,36.2,0.6
RSI,BUY (oversold),<= 48,48,3225,36.2,0.59
RSI,BUY (oversold),<= 49,49,3283,35.9,0.56
RSI,BUY (oversold),<= 50,50,3361,36.0,0.57
RSI,SELL (overbought),>= 50,50,3020,40.1,0.54
RSI,SELL (overbought),>= 51,51,2978,40.1,0.51
RSI,SELL (overbought),>= 52,52,2932,40.2,0.51
RSI,SELL (overbought),>= 53,53,2880,40.3,0.51
RSI,SELL (overbought),>= 54,54,2834,40.1,0.54
RSI,SELL (overbought),>= 55,55,2792,40.3,0.54
RSI,SELL (overbought),>= 56,56,2736,40.0,0.53
RSI,SELL (overbought),>= 57,57,2680,40.1,0.54
RSI,SELL (overbought),>= 58,58,2626,40.2,0.57
RSI,SELL (overbought),>= 59,59,2576,39.9,0.59
RSI,SELL (overbought),>= 60,60,2496,40.1,0.58
RSI,SELL (overbought),>= 61,61,2436,39.9,0.62
RSI,SELL (overbought),>= 62,62,2376,40.1,0.62
RSI,SELL (overbought),>= 63,63,2315,40.0,0.64
RSI,SELL (overbought),>= 64,64,2261,39.8,0.66
RSI,SELL (overbought),>= 65,65,2187,39.7,0.69
RSI,SELL (overbought),>= 66,66,2129,40.0,0.66
RSI,SELL (overbought),>= 67,67,2052,40.2,0.69
RSI,SELL (overbought),>= 68,68,1996,39.7,0.77
RSI,SELL (overbought),>= 69,69,1942,39.0,0.85
RSI,SELL (overbought),>= 70,70,1884,38.8,0.82
RSI,SELL (overbought),>= 71,71,1828,38.7,0.78
RSI,SELL (overbought),>= 72,72,1768,38.3,0.84
RSI,SELL (overbought),>= 73,73,1718,38.5,0.85
RSI,SELL (overbought),>= 74,74,1659,38.0,0.92
RSI,SELL (overbought),>= 75,75,1592,37.8,0.99
RSI,SELL (overbought),>= 76,76,1536,38.0,0.97
RSI,SELL (overbought),>= 77,77,1490,38.1,0.92
RSI,SELL (overbought),>= 78,78,1440,38.1,0.95
RSI,SELL (overbought),>= 79,79,1390,38.4,0.93
RSI,SELL (overbought),>= 80,80,1351,38.2,0.99
RSI,SELL (overbought),>= 81,81,1298,38.3,0.96
RSI,SELL (overbought),>= 82,82,1235,38.5,1.03
RSI,SELL (overbought),>= 83,83,1191,38.5,1.05
RSI,SELL (overbought),>= 84,84,1126,38.6,1.06
RSI,SELL (overbought),>= 85,85,1088,38.9,0.94
RSI,SELL (overbought),>= 86,86,1028,39.4,0.86
RSI,SELL (overbought),>= 87,87,972,39.2,0.94
RSI,SELL (overbought),>= 88,88,915,39.9,0.91
RSI,SELL (overbought),>= 89,89,858,40.6,0.89
RSI,SELL (overbought),>= 90,90,800,40.6,0.81
Stoch %K,BUY (oversold),<= 5,5,376,34.8,0.84
Stoch %K,BUY (oversold),<= 10,10,695,34.4,0.49
Stoch %K,BUY (oversold),<= 15,15,1060,34.5,0.14
Stoch %K,BUY (oversold),<= 20,20,1421,34.4,0.17
Stoch %K,BUY (oversold),<= 25,25,1750,34.2,0.2
Stoch %K,BUY (oversold),<= 30,30,2110,34.1,0.1
Stoch %K,BUY (oversold),<= 35,35,2428,33.7,0.08
Stoch %K,BUY (oversold),<= 40,40,2725,33.8,0.14
Stoch %K,BUY (oversold),<= 45,45,3061,33.9,0.17
Stoch %K,BUY (oversold),<= 50,50,3394,33.9,0.21
Stoch %K,SELL (overbought),>= 50,50,3033,37.2,0.9
Stoch %K,SELL (overbought),>= 55,55,2710,36.8,0.97
Stoch %K,SELL (overbought),>= 60,60,2422,36.8,1.04
Stoch %K,SELL (overbought),>= 65,65,2104,36.4,1.08
Stoch %K,SELL (overbought),>= 70,70,1744,36.2,0.94
Stoch %K,SELL (overbought),>= 75,75,1448,36.4,1.05
Stoch %K,SELL (overbought),>= 80,80,1127,36.4,1.07
Stoch %K,SELL (overbought),>= 85,85,837,36.4,0.87
Stoch %K,SELL (overbought),>= 90,90,544,34.7,1.07
Stoch %K,SELL (overbought),>= 95,95,300,36.7,1.4
MACD Histogram cross 0,BUY (hist cross > 0),cross,0,247,32.4,-0.57
MACD Histogram cross 0,SELL (hist cross < 0),cross,0,247,40.9,-0.06
Long/Short Exit (Supertrend),BUY (close crosses above Short-exit),cross,—,548,33.9,0.28
Long/Short Exit (Supertrend),SELL (close crosses below Long-exit),cross,—,609,37.4,0.3
