ticker,name_ar
NICBM,الصناعات الوطنية ش.م.ك
PCEM,أسمنت بورتلاند كويت
ZAIN,الاتصالات المتنقلة
BOURSA,شركة بورصة الكويت للأوراق المالية
MARAKEZ,مراكز التجارة العقارية
KINS,الكويت للتأمين
NBK,بنك الكويت الوطني
HUMANSOFT,هيومن سوفت القابضة
KFH,بيت التمويل الكويتي
ALDEERA,الديرة القابضة
KAMCO,كامكو للاستثمار
INTEGRATED,الشركة المتكاملة القابضة
CBK,البنك التجاري الكويتي
OOREDOO,الوطنية للاتصالات المتنقلة
SHIP,الصناعات الهندسية الثقيلة وبناء السفن
OULAFUEL,الأولى للتسويق المحلي للوقود
RASIYAT,شركة راسيات القابضة
AAYAN,أعيان للاجارة والاستثمار
BPCC,بوبيان للبتروكيماويات
JTC,جاسم للنقليات والمناولة
BAYANINV,بيان للاستثمار القابضة
CLEANING,الشركة الوطنية للتنظيف
GBK,بنك الخليج
JAZEERA,طيران الجزيرة
NIND,مجموعة الصناعات الوطنية القابضة
MABANEE,شركة المباني
ALG,أولاد علي الغانم للسيارات
ALKOUT,الكوت للمشاريع الصناعية
BOUBYAN,بنك بوبيان
KINV,الكويتية للاستثمارWARBABANK,بنك وربة
FACIL,التسهيلات التجارية
AZNOULA,شمال الزور الأولى للطاقة والمياه
MEZZAN,ميزان القابضة
CABLE,مجموعة الخليج للكابلات
FTI,الأولى للتأمين التكافلي
KRE,عقارات الكويت
KIB,بنك الكويت الدولي
STC,الاتصالات الكويتية
CGC,المجموعة المشتركة للمقاولات
BURG,بنك برقان
ABK,البنك الأهلي الكويتي
BEYOUT,مجموعة البيوت الاستثمارية القابضة
OSOUL,أصول للاستثمار
IFAHR,ايفا للفنادق والمنتجعات
IFA,الاستشارات المالية الدولية القابضة
KCIN,السينما الكويتية الوطنية
NOOR,نور للاستثمار المالي
SRE,الصالحية العقارية
NINV,شركة الإستثمارات الوطنية
EQUIPMENT,المعدات القابضة
ALTIJARIA,الشركة التجارية العقارية
ERESCO,الإنماء العقارية
WINSRE,وربة للتأمين وإعادة التأمين
ALIMTIAZ,مجموعة الامتياز الاستثمارية
MRC,المعادن والصناعات التحويلية
ARZAN,مجموعة أرزان المالية
DALQANRE,دلقان العقارية
AAYANRE,أعيان العقارية
KPROJ,مشاريع الكويت القابضةSECH,بيت الأوراق المالية
COAST,الساحل للتنمية والاستثمار
ALOLA,الشركة الأولى للإستثمار
FUTUREKID,طفل المستقبل الترفيهية العقارية
IPG,المجموعة البترولية المستقلة
NRE,الشركة الوطنية العقارية
THURAYA,دار الثريا العقارية
KFIC,كفيك للإستثمار
KUWAITRE,إعادة التأمين الكويتية
OSOS,مجموعة أسس القابضة
MUBARRAD,شركة مبرد القابضة
ASC,الأنظمة الآلية
SANAM,سنام العقارية
KCPC,الكويتية لبناء المعامل والمقاولات
PAPCO,النخيل للإنتاج الزراعي
MADAR,شركة المدار للاستثمار
URC,العقارات المتحدة
ARGAN,الأرجان العالمية العقارية
NIH,الوطنية الدولية القابضة
AINS,الشركة الأهلية للتأمين
MKHZN,أجيليتي للمخازن العمومية
UNICAP,يونيكاب للاستثمار والتمويل
NCCI,الشركة الوطنية الاستهلاكية القابضة
CATTL,نقل وتجارة المواشي
ACICO,أسيكو للصناعات
EKTTITAB,اكتتاب القابضة
MARKAZ,المركز المالي الكويتي
MENA,مينا العقارية
KPPC,التخصيص القابضة
MAZAYA,المزايا القابضةENERGYH,بيت الطاقة القابضة
KCEM,أسمنت الكويت
ARKAN,أركان الكويت العقارية
KHOT,الفنادق الكويتية
KMEFIC,الكويت والشرق الأوسط للاستثمار المالي
SOKOUK,صكوك القابضة
MUNSHAAT,منشآت للمشاريع العقارية
KBT,مدينة الأعمال الكويتية العقارية
MANAZEL,منازل القابضة
ALMANAR,المنار للتمويل والإجارة
GINS,مجموعة الخليج للتأمين
AREEC,أجيال العقارية الترفيهية
SENERGY,سنرجي القابضة
MASHAER,مشاعر القابضة
AQAR,عقار للاستثمارات العقارية
ASIYA,آسيا كابيتال الاستثمارية
EMIRATES,الكويتية الإماراتية القابضة
GIH,بيت الاستثمار الخليجي
GFC,الامتيازات الخليجية القابضة
TIJARA,التجارة والاستثمار العقاري
WARBACAP,وربة كابيتال القابضة
TAM,التمدين العقارية
AMAR,عمار للتمويل والإجارة
DIGITUS,شركة حياة للاتصالات
SOOR,السور لتسويق الوقود
ALAQARIA,الكويتية العقارية القابضة
KFOUC,السكب الكويتية
ABAR,برقان لحفر الآبار
INJAZZAT,إنجازات للتنمية العقارية
ALSAFAT,الصفاة للاستثمارUPAC,المشاريع المتحدة للخدمات الجوية
WETHAQ,وثاق للتأمين التكافلي
NAPESCO,الوطنية للخدمات البترولية
ARABREC,الشركة العربية العقارية
PAPER,الشعيبة الصناعية
TAHSSILAT,تصنيف وتحصيل الأموال
ATC,التقدم التكنولوجي
MUNTAZAHAT,الكويتية للمنتزهات
SPEC,مجموعة الخصوصية القابضة
TAMINV,التمدين الاستثمارية
ALFTAQA,Action Energy Company
INOVEST,اينوفست
